actor,role,title,award,score_1,score_2,num_reviews,polarity_mean,objectivity_mean,numeric_key,ordering,height,year,duration,avg_vote,votes,budget,worlwide_gross_income,metascore,weighted_average_vote,total_votes,mean_vote,median_vote,votes_10,votes_9,votes_8,votes_7,votes_6,votes_5,votes_4,votes_3,votes_2,votes_1,allgenders_0age_avg_vote,allgenders_0age_votes,allgenders_18age_avg_vote,allgenders_18age_votes,allgenders_30age_avg_vote,allgenders_30age_votes,allgenders_45age_avg_vote,allgenders_45age_votes,males_allages_avg_vote,males_allages_votes,males_0age_avg_vote,males_0age_votes,males_18age_avg_vote,males_18age_votes,males_30age_avg_vote,males_30age_votes,males_45age_avg_vote,males_45age_votes,females_allages_avg_vote,females_allages_votes,females_0age_avg_vote,females_0age_votes,females_18age_avg_vote,females_18age_votes,females_30age_avg_vote,females_30age_votes,females_45age_avg_vote,females_45age_votes,top1000_voters_rating,top1000_voters_votes,us_voters_rating,us_voters_votes,non_us_voters_rating,non_us_voters_votes,age_at_performance
Tommy Lee Jones,captain bully hayes,nate and hayes,0.0,59.0,0.0,2.0,-0.1660714285714286,0.4517857142857143,214,1,183.0,1983,99,6.2,1989,12000000,1963756,0,6.2,1989,6.6,7.0,217,128,256,395,446,290,134,64,27,32,0,0,6.5,42.0,6.2,678.0,6.2,821.0,6.1,1364.0,0,0,6.5,35.0,6.1,593.0,6.1,704.0,6.7,194.0,0,0,7.0,6.0,6.8,76.0,6.7,106.0,5.6,99.0,6.4,684.0,6.0,782.0,37.0
Tommy Lee Jones,elmore pratt,back roads,0.0,35.0,40.0,4.0,0.2264583333333333,0.3995833333333333,214,2,183.0,1981,94,5.6,794,0,11809387,48.0,5.6,794,5.8,6.0,49,14,46,124,224,176,91,35,19,16,6.0,1.0,5.9,17.0,5.7,187.0,5.6,393.0,5.6,515.0,6.0,1.0,6.2,13.0,5.7,148.0,5.5,340.0,5.9,94.0,0,0,5.5,2.0,6.0,37.0,5.8,49.0,5.3,97.0,5.6,326.0,5.6,240.0,35.0
Tommy Lee Jones,doolittle lynn,coal miners daughter,0.0,86.0,86.0,7.0,0.2637896825396825,0.5333673469387755,214,2,183.0,1980,124,7.5,16303,0,67182787,87.0,7.5,16303,7.6,8.0,2172,2157,4626,4448,1729,658,205,126,64,118,0,0,7.5,927.0,7.4,4863.0,7.6,6639.0,7.4,9256.0,0,0,7.5,604.0,7.3,3461.0,7.5,4917.0,7.8,3463.0,0,0,7.6,309.0,7.6,1358.0,7.9,1653.0,7.0,379.0,7.7,7183.0,7.2,4397.0,34.0
Tommy Lee Jones,angelo perino,the betsy,0.0,23.0,20.0,0.0,0.0,0.0,214,4,183.0,1978,125,5.1,1374,0,0,0,5.1,1374,5.2,5.0,65,30,73,151,273,330,204,99,80,69,0,0,4.9,18.0,5.5,188.0,5.2,818.0,5.2,905.0,0,0,5.0,11.0,5.4,149.0,5.2,729.0,5.1,124.0,0,0,4.5,7.0,5.5,35.0,5.0,82.0,4.9,115.0,5.3,590.0,5.1,392.0,32.0
Tommy Lee Jones,john neville,eyes of laura mars,0.0,43.0,50.0,7.0,-0.011296296296296304,0.7593650793650795,214,2,183.0,1978,104,6.2,8680,7000000,20000000,49.0,6.2,8680,6.2,6.0,419,266,901,2084,2626,1297,605,252,128,102,5.0,1.0,6.4,405.0,6.1,2708.0,6.2,3576.0,6.1,5591.0,5.0,1.0,6.3,301.0,6.1,2189.0,6.1,2933.0,6.5,1204.0,0,0,6.5,98.0,6.4,482.0,6.5,588.0,5.8,315.0,6.2,2582.0,6.1,3729.0,32.0
Tommy Lee Jones,coley blake,jackson county jail,0.0,0.0,0.0,0.0,0.0,0.0,214,2,183.0,1976,84,6.2,984,445000,0,0,6.2,984,6.2,6.0,54,37,98,225,263,167,61,32,25,22,0,0,6.0,33.0,6.2,291.0,6.2,431.0,6.2,711.0,0,0,6.0,28.0,6.2,263.0,6.2,398.0,5.9,61.0,0,0,6.8,4.0,6.1,25.0,5.9,29.0,5.8,99.0,6.2,321.0,6.2,387.0,30.0
Tommy Lee Jones,tommy lee,elizas horoscope,0.0,0.0,0.0,0.0,0.0,0.0,214,2,183.0,1975,120,4.7,133,1400000,0,0,4.7,133,5.0,5.0,15,5,7,5,22,23,15,6,14,21,5.5,2.0,6.6,9.0,4.8,43.0,4.4,62.0,4.8,100.0,6.0,1.0,6.7,6.0,4.9,36.0,4.5,55.0,4.5,17.0,5.0,1.0,5.7,3.0,4.4,6.0,3.6,7.0,4.9,37.0,4.3,64.0,5.3,47.0,29.0
Michael Keaton,va vandevere,dumbo,0.0,48.0,46.0,35.0,0.1957872174122174,0.5504675324675324,147,2,175.0,2019,112,6.3,62609,170000000,353284621,51.0,6.3,62609,6.4,6.0,3732,2683,7829,16362,16552,8070,3368,1592,933,1488,6.4,117.0,6.3,12228.0,6.3,22902.0,6.4,6081.0,6.2,33930.0,6.1,65.0,6.1,8029.0,6.2,17584.0,6.3,4905.0,6.7,10243.0,6.9,27.0,6.7,3428.0,6.7,4570.0,6.8,996.0,5.9,310.0,6.2,7200.0,6.2,24895.0,68.0
Michael Keaton,stan hurley,american assassin,0.0,60.0,34.0,24.0,0.010823922454357236,0.4602722880983751,147,2,175.0,2017,111,6.2,67929,33000000,67234188,45.0,6.2,67929,6.3,6.0,4084,2670,7940,17391,17957,8995,3940,1899,1076,1977,6.3,45.0,6.2,11776.0,6.1,24758.0,6.3,9844.0,6.1,42916.0,6.4,31.0,6.1,9014.0,6.0,21410.0,6.3,8537.0,6.5,7568.0,5.6,12.0,6.6,2539.0,6.4,2988.0,6.6,1139.0,5.7,317.0,6.4,9442.0,6.0,27991.0,66.0
Michael Keaton,adrian toomes/vulture,spider-man homecoming,0.0,87.0,92.0,40.0,0.22826366433274325,0.44972935896012817,147,2,175.0,2017,133,7.4,494060,175000000,880166924,73.0,7.4,494060,7.5,8.0,49783,63483,152166,140340,51664,17344,6520,3487,2464,6809,7.8,1337.0,7.5,123668.0,7.3,143957.0,7.3,30518.0,7.4,282567.0,7.7,900.0,7.5,97706.0,7.3,122842.0,7.3,26185.0,7.6,49874.0,7.9,212.0,7.7,21483.0,7.4,18078.0,7.4,3649.0,7.0,692.0,7.6,57625.0,7.3,172006.0,66.0
