ACTOR,ROLE,TITLE,AWARD,SCORE_1,SCORE_2,NUM_REVIEWS,polarity_mean,objectivity_mean,NUMERIC_KEY
Fredric March,dr henry jekyll / mr edward hyde,dr jekyll and mr hyde,2.0,80.0,90.0,12.0,0.34510322184429326,0.6209462396069538,69
Fredric March,norman maine,a star is born,1.0,78.0,100.0,5.0,0.1638888888888889,0.652,69
Fredric March,platoon sergeant al stephenson,the best years of our lives,2.0,93.0,97.0,15.0,0.3566727716727716,0.5008843537414966,69
Fredric March,willy loman,death of a salesman,1.0,0.0,0.0,1.0,1.0,1.0,69
Gary Busey,buddy holly,the buddy holly story,1.0,77.0,100.0,8.0,0.15113960113960115,0.5325091575091575,70
Gary Cooper,longfellow deeds,mr deeds goes to town,1.0,86.0,90.0,0.0,0.0,0.0,71
Gary Cooper,sgt alvin york,sergeant york,2.0,87.0,86.0,3.0,0.5738095238095238,0.7035714285714285,71
Gary Cooper,lou gehrig,the pride of the yankees,1.0,89.0,93.0,6.0,0.4083333333333333,0.49785714285714283,71
Gary Cooper,robert jordan,for whom the bell tolls,1.0,69.0,71.0,0.0,0.0,0.0,71
Gary Cooper,marshal will kane,high noon,2.0,89.0,97.0,11.0,0.1893160173160173,0.48456926406926404,71
Gary Oldman,george smiley,tinker tailor soldier spy,1.0,65.0,83.0,41.0,0.12484147598433312,0.6838687899402185,72
Gary Oldman,winston churchill,darkest hour,2.0,82.0,84.0,36.0,0.19000559033194503,0.5352242827856667,72
Gene Hackman,detective jimmy popeye doyle,the french connection,2.0,87.0,98.0,14.0,0.087,0.42856060606060603,73
Gene Hackman,agent rupert anderson,mississippi burning,1.0,90.0,84.0,7.0,-0.03093820861678004,0.4842403628117914,73
Gene Kelly,joseph brady,anchors aweigh,1.0,79.0,62.0,6.0,0.20520833333333333,0.5383333333333333,74
Geoffrey Rush,david helfgott,shine,2.0,90.0,91.0,9.0,0.24722222222222223,0.5220238095238096,75
Geoffrey Rush,marquis de sade,quills,1.0,83.0,75.0,28.0,0.057821637426900586,0.6368386243386243,75
George Arliss,benjamin disraeli,disraeli,2.0,43.0,80.0,0.0,0.0,0.0,76
George Arliss,the raja,the green goddess,1.0,0.0,0.0,0.0,0.0,0.0,76
